Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Place of study
7,90,No,8,8,84,Library
3,82,No,6,4,58,Library
3,74,Yes,8,8,55,Library
2,79,No,7,8,57,Library
8,91,No,4,6,87,Library
6,90,Yes,9,1,80,Library
1,81,No,9,7,54,Library
1,87,Yes,9,4,64,Library
7,44,Yes,4,7,33,Library
8,91,No,7,1,83,Library
5,80,Yes,5,6,66,Library
5,47,No,8,4,33,Library
4,50,Yes,7,3,31,Library
6,55,Yes,4,9,40,Library
6,78,No,6,5,66,Library
3,86,Yes,9,4,67,Library
9,63,No,9,5,64,Library
7,60,No,7,8,52,Library
1,91,No,9,0,68,Library
7,62,No,9,0,58,Library
5,88,Yes,7,5,72,Library
5,77,No,7,1,65,Library
2,86,Yes,4,7,65,Library
4,47,No,4,6,24,Library
6,46,Yes,9,5,35,Library
7,41,Yes,7,3,34,Library
5,69,Yes,7,8,57,Library
9,52,Yes,9,6,54,Library
3,62,No,5,6,42,Library
1,68,No,6,4,39,Library
4,77,Yes,8,0,62,Library
9,76,Yes,8,1,71,Library
4,59,No,9,7,42,Library
2,72,Yes,8,4,52,Library
5,68,Yes,4,1,54,Library
3,89,No,4,4,68,Library
9,54,Yes,5,7,50,Library
4,62,Yes,9,3,46,Library
6,81,No,4,2,68,Library
2,42,Yes,9,4,19,Library
6,76,No,9,6,68,Library
3,95,No,7,1,74,Library
9,68,No,6,0,63,Library
2,84,No,6,4,60,Library
9,47,Yes,9,6,47,Library
5,61,No,6,7,47,Library
8,92,No,6,7,87,Library
2,68,Yes,8,9,45,Library
6,41,No,8,8,31,Library
3,80,Yes,7,0,61,Library
5,88,No,5,6,73,Library
8,98,No,4,9,92,Library
1,89,No,4,7,65,Library
5,84,No,8,5,69,Library
3,40,Yes,9,9,20,Library
4,83,Yes,6,3,66,Library
2,59,Yes,7,6,38,Library
9,91,No,5,2,81,Library
3,60,No,8,1,39,Library
2,76,No,9,5,53,Library
9,47,Yes,7,1,44,Library
7,66,No,9,5,58,Library
6,86,Yes,7,9,79,Library
1,98,Yes,8,2,75,Library
5,74,Yes,7,1,59,Library
3,45,No,6,7,23,Library
1,99,No,7,3,74,Library
4,84,No,5,3,65,Library
2,83,No,7,6,60,Library
2,58,Yes,4,7,32,Library
3,57,Yes,7,8,38,Library
8,95,No,9,9,91,Library
8,40,No,8,7,34,Library
7,64,No,4,3,46,Library
6,66,Yes,8,1,55,Library
9,46,No,9,9,43,Library
4,83,Yes,5,4,67,Library
1,81,Yes,6,6,56,Library
8,68,Yes,5,1,58,Library
7,70,Yes,4,3,60,Library
7,83,Yes,9,5,77,Library
3,82,Yes,9,7,69,Library
4,75,Yes,6,9,60,Library
9,58,No,7,5,52,Library
6,45,No,4,5,36,Library
5,64,No,6,5,49,Library
3,70,Yes,8,3,50,Library
9,48,Yes,6,2,48,Library
5,59,No,8,0,43,Library
5,49,Yes,8,1,34,Library
4,76,Yes,9,1,57,Library
4,66,Yes,6,9,50,Library
1,52,Yes,9,6,28,Library
7,80,Yes,9,5,72,Library
9,41,Yes,5,7,38,Library
3,89,Yes,5,8,68,Library
2,60,Yes,9,4,41,Library
3,72,Yes,9,2,53,Library
1,63,Yes,8,3,36,Library
6,92,Yes,9,7,80,Library
7,83,Yes,4,2,73,Library
2,81,No,6,1,59,Library
8,73,Yes,4,6,67,Library
6,99,Yes,5,3,91,Library
4,48,No,4,7,34,Library
5,41,No,7,0,23,Library
8,94,No,7,7,86,Library
3,95,Yes,5,4,73,Library
3,69,Yes,4,1,49,Library
4,61,No,6,0,43,Library
1,85,No,5,5,61,Library
9,50,No,7,8,45,Library
8,94,Yes,5,8,85,Library
8,82,Yes,4,8,75,Library
6,56,No,4,3,44,Library
7,75,Yes,4,5,66,Library
6,52,Yes,8,9,45,Library
9,46,No,4,5,40,Library
3,55,No,9,4,38,Library
3,72,No,7,1,50,Library
3,84,Yes,7,6,67,Library
3,40,Yes,8,0,21,Library
9,50,Yes,7,5,51,Library
4,45,Yes,7,4,25,Library
7,59,Yes,5,4,53,Library
9,74,No,4,7,71,Library
7,83,Yes,9,8,77,Library
9,76,Yes,9,6,75,Library
3,80,No,5,9,60,Library
4,65,No,9,7,49,Library
8,97,No,5,1,87,Library
6,51,No,9,1,40,Library
5,69,Yes,7,7,56,Library
4,67,Yes,6,5,49,Library
8,66,No,4,7,59,Library
1,81,Yes,6,8,59,Library
9,58,No,7,8,54,Library
1,44,Yes,8,5,17,Library
8,97,Yes,5,7,90,Library
4,44,Yes,9,1,23,Library
9,80,No,9,7,82,Library
5,66,No,7,2,49,Library
3,67,Yes,9,0,50,Library
9,65,Yes,7,6,60,Library
9,66,No,6,0,60,Library
4,91,No,8,0,74,Library
4,88,Yes,5,0,71,Library
8,81,Yes,9,3,77,Library
2,60,No,8,3,34,Library
9,40,Yes,8,9,39,Library
6,93,No,8,5,85,Library
9,67,No,4,9,64,Library
8,87,Yes,8,2,87,Library
7,97,Yes,7,9,91,Library
1,97,Yes,4,5,73,Library
3,54,No,4,6,34,Library
2,94,No,8,0,70,Library
5,56,No,9,5,42,Library
5,65,Yes,9,9,55,Library
5,59,Yes,9,0,45,Library
4,64,No,9,6,49,Library
5,52,No,7,9,37,Library
3,72,Yes,9,4,55,Library
1,64,No,5,9,38,Library
5,47,Yes,8,3,35,Library
9,44,Yes,4,0,41,Library
9,45,No,5,8,43,Library
4,62,No,9,6,46,Library
3,91,No,5,1,69,Library
1,69,No,4,3,37,Library
2,53,No,9,3,31,Library
8,93,Yes,5,7,90,Library
1,62,No,7,1,33,Library
8,50,Yes,7,4,44,Library
7,70,No,8,9,62,Library
8,45,No,8,7,41,Library
6,50,No,5,5,38,Library
9,52,No,4,3,45,Library
3,51,No,7,4,34,Library
4,93,No,6,1,72,Library
6,41,Yes,8,4,29,Library
8,92,No,7,2,83,Library
5,74,No,9,2,61,Library
3,94,No,5,6,75,Library
6,75,No,7,2,63,Library
4,56,Yes,7,3,36,Library
9,67,Yes,5,6,62,Library
3,67,Yes,8,2,49,Library
4,61,Yes,8,9,46,Library
7,77,Yes,6,9,69,Library
7,46,Yes,6,1,35,Library
4,54,No,8,9,38,Library
6,71,No,8,6,62,Library
3,50,Yes,8,4,30,Library
6,63,No,8,0,52,Library
2,42,No,7,9,16,Library
8,69,No,6,7,66,Library
2,45,No,5,2,20,Library
7,97,No,4,6,86,Library
9,41,Yes,5,5,38,Library
1,53,Yes,9,9,30,Library
8,80,Yes,4,5,71,Library
7,57,Yes,7,7,49,Library
6,90,Yes,9,3,79,Library
6,83,Yes,6,3,69,Library
6,70,No,4,2,56,Library
9,52,Yes,8,0,47,Library
2,65,No,9,9,41,Library
1,83,No,7,2,58,Library
6,51,Yes,4,0,38,Library
8,57,Yes,8,5,52,Library
3,48,Yes,9,7,25,Library
1,88,No,7,2,62,Library
9,60,Yes,9,3,60,Library
1,87,Yes,4,4,63,Library
3,88,Yes,8,6,72,Library
8,92,No,6,5,84,Library
3,95,Yes,7,1,74,Library
4,79,Yes,4,6,61,Library
8,82,No,8,7,77,Library
1,63,No,6,0,36,Library
6,73,No,9,5,65,Library
1,47,Yes,8,8,23,Library
1,83,Yes,6,6,60,Library
8,92,No,4,4,83,Library
4,72,Yes,8,9,56,Library
1,62,No,8,9,37,Library
7,52,No,5,8,43,Library
5,93,No,7,1,76,Library
5,92,No,8,6,83,Library
1,88,No,6,8,63,Library
6,53,Yes,7,1,39,Library
9,53,Yes,4,9,48,Library
9,55,Yes,7,5,53,Library
8,88,Yes,5,8,84,Library
5,77,No,4,2,63,Library
1,97,Yes,8,7,73,Library
9,99,No,9,4,99,Library
1,78,No,4,6,52,Library
8,65,Yes,4,2,58,Library
5,65,Yes,5,7,50,Library
3,40,No,6,1,18,Library
7,71,Yes,4,7,62,Library
7,96,Yes,6,1,87,Library
9,54,Yes,7,6,53,Library
7,91,Yes,9,1,87,Library
3,60,No,5,6,37,Library
1,57,No,8,0,31,Library
8,69,Yes,4,5,63,Library
3,99,No,9,9,81,Library
8,97,No,9,6,95,Library
8,52,Yes,6,3,45,Library
5,63,Yes,4,0,48,Library
1,69,No,9,5,47,Library
7,41,No,5,3,31,Library
5,58,No,8,2,43,Library
8,86,Yes,7,3,82,Library
9,83,No,7,5,80,Library
7,86,No,6,4,76,Library
7,64,Yes,9,1,57,Library
1,89,No,7,1,64,Library
4,53,Yes,6,2,35,Library
2,45,Yes,8,5,24,Library
2,51,No,4,0,30,Library
2,59,Yes,5,6,38,Library
4,62,Yes,8,7,45,Library
1,69,No,8,6,44,Library
4,69,Yes,7,2,53,Library
2,77,No,7,5,53,Library
5,97,Yes,5,3,84,Library
3,69,Yes,4,4,47,Library
8,80,No,8,2,76,Library
4,69,No,9,4,57,Library
1,96,No,7,5,71,Library
1,97,Yes,8,7,74,Library
3,75,No,4,5,54,Library
9,88,Yes,6,8,84,Library
7,73,No,4,9,62,Library
2,55,Yes,8,9,35,Library
9,63,No,8,9,62,Library
2,53,Yes,5,9,30,Library
3,65,No,8,3,47,Library
2,47,Yes,7,1,25,Library
3,53,Yes,9,8,40,Library
6,70,Yes,5,2,56,Library
9,41,Yes,8,6,38,Library
9,87,No,4,3,86,Library
7,43,Yes,8,0,38,Library
3,40,No,4,7,17,Library
4,94,Yes,4,3,75,Library
6,59,No,8,5,48,Library
5,98,Yes,4,6,87,Library
2,53,Yes,9,7,32,Library
6,79,No,6,9,68,Library
3,64,No,5,1,42,Library
8,99,Yes,8,8,96,Library
2,64,No,6,9,42,Library
1,42,No,4,2,18,Library
9,44,No,4,0,41,Library
3,77,Yes,5,1,54,Library
1,93,No,6,7,67,Library
7,65,Yes,6,9,57,Library
5,79,No,8,5,65,Library
5,77,No,4,0,62,Library
1,77,Yes,7,8,56,Library
9,43,No,8,6,39,Library
7,46,No,8,9,38,Library
8,69,No,8,2,65,Library
9,69,No,5,6,68,Library
6,95,No,5,5,82,Library
5,58,No,8,2,44,Library
6,78,No,9,7,67,Library
2,74,Yes,7,0,53,Library
4,79,Yes,6,4,61,Library
3,72,Yes,6,7,53,Home
7,72,Yes,4,2,61,Home
9,53,Yes,6,9,49,Home
5,77,No,6,5,61,Home
6,49,Yes,7,9,38,Home
2,96,Yes,6,1,76,Home
3,67,No,7,8,47,Home
3,53,Yes,5,1,32,Home
9,75,No,7,4,71,Home
7,77,No,5,2,69,Home
8,55,Yes,7,9,53,Home
9,99,Yes,8,8,100,Home
6,60,No,9,8,49,Home
4,67,No,5,6,48,Home
1,72,Yes,5,9,45,Home
8,45,No,6,4,40,Home
7,80,Yes,5,8,71,Home
2,54,Yes,7,6,34,Home
8,83,Yes,8,1,76,Home
5,42,Yes,8,9,29,Home
7,82,No,6,0,71,Home
4,86,No,7,9,69,Home
5,74,Yes,7,9,58,Home
8,53,Yes,4,3,43,Home
1,41,No,5,9,17,Home
1,68,No,6,7,41,Home
4,43,No,8,5,27,Home
3,65,No,9,1,45,Home
2,90,No,4,4,65,Home
3,51,Yes,7,8,31,Home
1,41,Yes,5,5,14,Home
1,56,Yes,8,5,33,Home
6,74,Yes,4,6,60,Home
5,49,No,7,4,34,Home
8,87,No,8,2,82,Home
2,61,Yes,8,2,40,Home
4,80,Yes,7,4,66,Home
8,82,No,7,3,76,Home
6,60,Yes,6,4,46,Home
1,54,Yes,8,8,31,Home
4,74,No,7,4,57,Home
1,87,No,9,3,65,Home
2,60,No,9,3,38,Home
5,60,Yes,4,0,46,Home
8,60,No,5,9,53,Home
8,99,No,9,3,97,Home
3,83,Yes,6,3,63,Home
4,71,No,7,8,55,Home
6,94,Yes,5,3,79,Home
3,44,Yes,6,6,26,Home
2,78,Yes,8,0,55,Home
6,48,Yes,5,6,37,Home
5,92,No,9,1,78,Home
5,57,Yes,6,7,45,Home
5,60,No,7,0,45,Home
5,47,No,7,9,34,Home
3,83,No,6,2,66,Home
7,91,No,8,7,79,Home
6,73,No,9,9,63,Home
4,49,Yes,6,7,32,Home
2,90,No,4,4,64,Home
9,80,Yes,6,4,78,Home
1,96,Yes,6,7,69,Home
4,63,Yes,9,9,46,Home
1,79,No,7,4,54,Home
6,63,No,8,8,51,Home
4,95,No,6,0,78,Home
5,71,No,5,4,54,Home
5,95,Yes,7,2,80,Home
9,72,No,7,2,67,Home
1,77,No,6,1,48,Home
2,83,Yes,9,2,61,Home
6,96,Yes,5,6,83,Home
5,95,Yes,6,7,82,Home
7,90,Yes,5,7,78,Home
3,98,Yes,7,7,78,Home
3,88,Yes,5,0,70,Home
2,73,Yes,6,6,48,Home
3,50,No,4,1,26,Home
1,70,No,4,9,46,Home
5,57,Yes,5,3,42,Home
5,62,Yes,9,4,46,Home
7,99,No,6,0,91,Home
4,61,Yes,8,3,47,Home
3,82,Yes,4,3,61,Home
1,57,Yes,7,8,31,Home
8,79,Yes,6,8,71,Home
3,86,Yes,6,9,66,Home
2,80,No,4,0,52,Home
4,86,Yes,8,7,71,Home
3,78,Yes,7,3,60,Home
1,59,Yes,8,3,32,Home
3,52,No,7,4,33,Home
2,84,No,4,1,56,Home
8,40,Yes,6,0,32,Home
6,91,Yes,7,4,76,Home
9,43,Yes,6,6,40,Home
8,63,Yes,5,9,60,Home
3,75,No,5,8,54,Home
5,75,No,4,1,59,Home
7,84,Yes,4,7,74,Home
5,41,Yes,9,6,29,Home
8,67,No,4,1,61,Home
5,65,No,5,4,50,Home
1,62,Yes,7,6,36,Home
5,54,Yes,8,2,41,Home
4,75,Yes,4,1,60,Home
6,66,No,8,5,56,Home
3,45,No,8,9,23,Home
5,74,No,5,5,63,Home
2,78,No,9,3,54,Home
6,77,Yes,7,0,64,Home
6,74,No,5,4,64,Home
5,75,No,4,0,58,Home
6,49,No,5,7,38,Home
7,69,Yes,5,1,60,Home
5,92,No,5,8,79,Home
1,80,No,4,8,57,Home
8,77,No,4,2,69,Home
4,68,Yes,5,5,51,Home
9,91,No,5,8,86,Home
6,98,Yes,8,6,90,Home
1,82,Yes,7,3,57,Home
3,78,No,8,2,61,Home
3,89,Yes,9,1,71,Home
4,43,No,7,9,30,Home
6,44,Yes,9,9,34,Home
7,43,Yes,7,0,34,Home
4,75,No,5,9,58,Home
6,98,No,8,0,85,Home
1,84,Yes,7,3,55,Home
8,55,Yes,9,3,51,Home
7,64,Yes,7,8,53,Home
9,53,Yes,4,9,51,Home
3,50,No,7,0,31,Home
2,68,Yes,5,3,44,Home
1,73,Yes,6,2,48,Home
3,61,No,4,8,41,Home
5,53,Yes,6,4,40,Home
2,95,No,5,8,72,Home
3,63,No,6,9,41,Home
4,98,No,7,5,78,Home
7,78,Yes,6,8,70,Home
3,65,No,8,0,41,Home
9,82,No,5,3,78,Home
8,75,No,8,3,70,Home
4,78,Yes,6,9,61,Home
1,55,Yes,8,9,33,Home
1,97,Yes,4,5,71,Home
1,77,Yes,6,9,51,Home
1,98,No,9,0,72,Home
8,71,No,8,9,69,Home
3,45,No,7,4,21,Home
6,73,Yes,6,2,61,Home
3,95,No,9,0,76,Home
5,47,Yes,4,5,30,Home
7,69,Yes,7,2,59,Home
2,66,Yes,6,3,45,Home
6,46,No,7,8,39,Home
6,66,No,6,1,53,Home
3,64,Yes,6,0,43,Home
6,95,No,5,9,85,Home
5,85,Yes,8,5,70,Home
2,80,No,6,0,56,Home
9,54,Yes,4,0,52,Home
8,64,Yes,9,6,65,Home
3,61,Yes,8,1,39,Home
8,57,No,5,3,48,Home
9,51,No,8,3,47,Home
3,62,No,8,1,41,Home
3,90,No,6,5,72,Home
2,84,No,4,9,61,Home
8,78,Yes,6,1,74,Home
1,64,No,4,7,38,Home
8,49,Yes,4,3,42,Home
7,69,No,7,0,60,Home
7,49,No,6,6,35,Home
3,73,No,5,5,52,Home
1,85,Yes,9,5,61,Home
4,52,No,8,2,32,Home
9,93,Yes,7,9,95,Home
5,68,No,5,6,53,Home
1,77,Yes,9,5,54,Home
5,80,Yes,9,9,70,Home
8,84,Yes,6,9,78,Home
8,48,Yes,4,8,42,Home
5,52,No,6,2,33,Home
9,76,No,9,2,75,Home
1,53,Yes,6,3,26,Home
4,76,No,7,2,58,Home
3,48,Yes,5,3,29,Home
2,47,No,9,5,29,Home
8,78,No,7,0,70,Home
7,79,No,5,1,67,Home
9,93,Yes,7,9,93,Home
2,42,No,8,5,21,Home
4,94,Yes,4,5,74,Home
6,95,No,4,0,82,Home
3,86,Yes,4,5,65,Home
8,79,No,8,8,75,Home
3,72,Yes,9,7,55,Home
2,71,Yes,9,9,54,Home
3,46,Yes,8,4,26,Home
6,58,No,4,3,48,Home
2,73,Yes,4,5,49,Home
8,53,No,5,4,49,Home
1,89,Yes,5,5,64,Home
7,86,Yes,6,9,81,Home
2,85,Yes,7,2,64,Home
6,95,No,5,6,82,Home
2,96,No,5,7,74,Home
2,58,No,5,4,32,Home
8,90,No,5,4,83,Home
2,93,No,8,3,68,Home
7,98,No,6,9,90,Home
3,65,No,5,4,44,Home
8,56,Yes,9,9,51,Home
7,93,Yes,7,7,86,Home
8,67,No,5,4,62,Home
7,58,No,8,8,48,Home
6,66,No,9,0,56,Home
7,87,No,4,6,79,Home
5,91,No,4,4,74,Home
7,96,Yes,6,3,82,Home
1,58,No,4,2,32,Home
1,72,No,5,9,46,Home
9,90,No,8,6,88,Home
5,46,Yes,6,1,35,Home
5,68,Yes,9,4,56,Home
3,94,Yes,5,1,74,Home
5,82,Yes,4,6,67,Home
3,44,No,7,5,23,Home
9,69,Yes,5,9,67,Home
9,88,Yes,7,6,86,Home
6,82,Yes,9,8,70,Home
1,95,Yes,7,1,68,Home
7,97,Yes,9,8,91,Home
7,47,No,6,6,42,Home
4,81,Yes,8,1,62,Home
8,51,Yes,4,9,44,Home
6,81,Yes,4,1,67,Home
4,52,No,5,3,35,Home
4,65,No,4,1,46,Home
2,57,No,6,0,31,Home
2,81,No,4,5,59,Home
4,90,No,5,9,71,Home
5,91,No,4,4,74,Home
8,88,No,8,2,80,Home
6,59,No,9,0,49,Home
4,55,Yes,7,8,39,Home
7,76,Yes,7,7,67,Home
8,42,No,9,5,38,Home
2,66,Yes,7,5,47,Home
7,54,No,8,3,41,Home
2,97,Yes,6,1,75,Home
2,73,Yes,5,3,53,Home
8,84,No,8,1,81,Home
2,61,Yes,5,6,37,Home
9,79,No,6,8,77,Home
1,62,No,8,1,36,Home
9,98,Yes,4,8,95,Home
1,88,No,6,8,65,Home
2,43,Yes,7,7,18,Home
6,90,Yes,8,0,80,Home
6,93,No,6,4,81,Home
1,96,No,6,9,73,Home
7,80,No,8,3,74,Home
8,62,No,7,6,57,Home
2,86,No,9,7,64,Home
8,99,Yes,7,9,97,Home
9,48,No,6,7,42,Home
6,63,Yes,5,1,48,Home
5,60,No,9,2,46,Home
9,80,Yes,9,9,79,Home
9,85,Yes,6,9,83,Home
1,94,Yes,8,6,70,Home
3,92,Yes,8,3,73,Home
9,55,Yes,8,5,56,Home
2,95,No,7,7,71,Home
4,94,Yes,4,7,76,Home
4,64,No,8,6,49,Home
2,65,Yes,8,1,43,Home
3,88,No,9,1,67,Home
3,84,Yes,5,2,63,Home
1,48,Yes,5,3,18,Home
6,54,No,6,0,43,Home
8,78,No,6,4,72,Home
3,72,Yes,6,6,57,Home
5,40,Yes,8,9,25,Home
1,44,No,5,4,15,Home
7,95,Yes,6,6,88,Home
1,48,Yes,5,4,24,Home
9,83,No,8,9,81,Home
8,45,Yes,9,7,40,Home
7,67,Yes,8,6,60,Home
7,84,No,6,0,73,Home
5,65,Yes,8,0,52,Home
5,67,No,8,4,53,Home
5,79,No,5,1,65,Home
1,54,Yes,4,8,30,Home
8,45,Yes,7,1,39,Home
1,66,No,6,8,43,Home
4,77,No,4,9,59,Home
9,43,Yes,9,1,38,Home
9,50,No,6,3,44,Home
5,60,Yes,4,2,44,Home
4,69,No,8,5,53,Home
3,57,No,6,3,37,Home
3,74,No,4,8,52,Home
5,42,Yes,7,8,30,Home
1,51,No,8,9,22,Home
5,66,No,6,8,51,Home
6,92,No,9,2,82,Home
7,69,No,9,2,63,Home
9,60,Yes,6,3,58,Home
3,77,No,4,8,58,Home
2,60,Yes,6,5,38,Home
3,99,No,8,8,80,Home
9,77,No,5,7,70,Home
7,79,Yes,9,6,72,Home
9,54,Yes,4,4,48,Home
2,57,No,7,8,36,Home
5,91,No,6,3,73,Home
4,68,No,8,3,51,Home
2,87,Yes,6,7,63,Home
9,77,No,7,3,74,Home
9,99,Yes,8,6,98,Home
6,60,No,7,3,45,Home
6,56,Yes,8,0,45,Home
8,80,Yes,5,9,74,Home
6,90,Yes,9,8,81,Home
1,57,No,8,3,30,Home
4,96,No,7,2,77,Home
7,94,Yes,4,2,86,Home
2,76,Yes,9,8,58,Home
9,99,Yes,5,7,99,Home
8,77,No,6,9,69,Home
8,51,No,5,6,47,Home
7,50,No,5,6,42,Home
4,87,Yes,6,3,73,Home
2,91,No,8,2,71,Home
3,88,No,5,3,68,Home
6,59,No,9,5,47,Home
5,48,Yes,5,3,31,Home
8,40,No,4,3,31,Home
6,97,No,9,1,86,Home
6,42,No,4,6,27,Home
1,60,No,9,5,32,Home
4,62,No,7,1,41,Home
5,48,Yes,6,4,33,Home
3,93,Yes,9,5,75,Home
9,58,Yes,9,4,57,Home
1,84,Yes,8,3,59,Home
6,94,No,8,8,87,Home
6,85,No,7,2,72,Home
5,91,Yes,8,1,78,Home
5,58,Yes,8,8,46,Home
5,62,Yes,4,7,47,Home
6,66,No,8,8,58,Home
8,66,No,8,9,63,Home
2,78,No,7,2,56,Home
6,75,Yes,7,0,62,Home
1,51,Yes,5,0,23,Home
4,94,Yes,8,2,73,Home
3,66,No,8,3,46,Home
9,85,No,9,1,80,Home
3,73,Yes,8,7,59,Home
6,72,Yes,4,2,60,Home
1,67,No,9,3,41,Home
6,70,No,8,5,61,Home
4,71,Yes,4,9,51,Home
8,89,Yes,5,5,82,Home
9,59,No,9,1,55,Home
4,79,Yes,6,5,64,Home
6,74,Yes,8,3,61,Home
1,70,No,9,4,44,Home
4,97,Yes,7,6,81,Home
7,70,No,9,6,64,Home
1,77,Yes,7,5,53,Home
8,61,No,8,9,55,Home
6,84,Yes,4,5,72,Home
5,80,Yes,7,5,65,Home
9,48,Yes,9,3,44,Home
2,91,No,9,2,70,Home
5,48,Yes,7,0,34,Home
6,54,Yes,5,2,41,Home
7,52,No,5,2,43,Home
5,61,Yes,5,8,48,Home
9,55,No,7,2,46,Home
1,71,No,7,7,47,Home
7,41,No,9,7,37,Home
7,65,Yes,8,2,56,Home
4,53,No,8,9,40,Home
9,98,Yes,4,9,96,Home
5,77,No,7,5,63,Home
4,73,Yes,8,7,58,Home
7,47,No,8,7,36,Home
4,75,No,5,9,61,Home
3,60,Yes,5,9,39,Home
9,95,No,5,8,90,Home
8,85,Yes,6,8,79,Home
1,82,No,8,7,58,Home
7,95,Yes,5,6,89,Home
9,67,No,5,9,64,Home
8,85,No,7,2,78,Home
8,83,Yes,9,6,79,Home
6,87,No,5,3,72,Home
4,45,Yes,7,1,26,Home
8,59,Yes,4,7,52,Home
3,70,No,5,1,49,Home
9,72,No,9,0,66,Home
2,83,No,7,4,59,Home
2,46,Yes,9,9,28,Home
7,47,Yes,5,8,39,Home
4,48,No,4,4,31,Home
8,41,Yes,5,1,33,Home
9,56,No,7,9,57,Home
7,91,No,4,3,83,Home
5,84,No,4,7,69,Home
8,76,Yes,4,6,71,Home
4,81,Yes,6,4,62,Home
2,83,No,7,3,58,Home
6,56,Yes,6,4,46,Home
9,92,No,9,6,93,Home
1,77,No,4,4,48,Home
7,74,Yes,6,7,68,Home
9,99,No,5,6,97,Home
9,86,No,6,6,82,Home
3,78,No,8,8,57,Home
5,69,No,9,7,55,Home
8,45,No,4,7,37,Home
8,43,Yes,4,5,35,Home
4,90,Yes,9,6,72,Home
1,76,No,9,7,51,Home
1,74,Yes,7,4,50,Home
4,97,No,5,9,82,Home
6,96,No,9,1,84,Home
8,48,No,9,6,46,Home
6,45,No,7,9,34,Home
9,52,Yes,9,2,55,Home
9,98,Yes,6,9,95,Home
2,61,No,8,7,40,Home
1,67,Yes,8,5,42,Home
2,69,No,8,3,45,Home
5,91,Yes,9,1,80,Home
4,75,No,8,6,60,Home
4,41,No,5,0,21,Home
9,97,No,6,6,95,Home
8,75,Yes,8,9,72,Home
6,47,Yes,4,9,35,Home
1,84,No,9,6,58,Home
2,81,Yes,6,9,59,Home
6,89,Yes,5,2,77,Home
2,48,Yes,8,3,23,Home
5,40,Yes,5,3,26,Home
5,52,Yes,9,3,39,Home
6,89,Yes,8,8,79,Home
6,54,Yes,4,5,39,Home
6,71,Yes,6,9,61,Home
2,73,Yes,4,8,47,Home
3,82,Yes,8,3,63,Home
6,70,Yes,7,6,61,Home
8,53,Yes,6,9,51,Home
1,93,Yes,5,8,68,Home
1,86,No,8,9,66,Home
2,53,No,4,2,29,Home
6,87,Yes,9,2,78,Home
9,94,Yes,7,5,94,Home
4,68,Yes,9,7,56,Home
3,86,No,8,0,68,Home
8,58,No,5,3,50,Home
9,66,Yes,4,7,62,Home
5,48,Yes,6,5,31,Home
9,76,Yes,7,1,73,Home
2,76,Yes,8,7,57,Home
3,82,Yes,8,0,60,Home
7,67,No,8,0,56,Home
7,91,Yes,8,6,88,Home
6,96,No,4,9,84,Home
6,63,Yes,6,2,48,Home
2,67,Yes,5,7,41,Home
6,75,No,7,8,65,Home
4,91,No,8,7,74,Home
3,57,Yes,9,0,38,Home
2,64,No,8,0,40,Home
1,74,Yes,6,5,49,Home
5,43,No,6,0,30,Home
2,53,No,4,7,29,Home
2,78,Yes,4,5,57,Home
7,65,Yes,9,4,58,Home
8,47,No,9,5,40,Home
8,63,Yes,4,3,60,Home
4,55,No,7,0,41,Home
1,59,No,9,6,34,Home
7,54,Yes,4,9,46,Home
1,46,No,8,8,24,Home
4,97,Yes,4,3,79,Home
8,56,Yes,7,3,52,Home
2,61,No,4,8,36,Home
6,61,Yes,4,3,52,Home
6,93,No,8,9,84,Home
9,51,No,9,3,50,Home
5,57,Yes,8,7,47,Home
4,95,Yes,8,3,81,Home
5,85,No,4,8,70,Home
5,86,Yes,8,7,77,Home
8,54,No,6,4,49,Home
8,76,No,5,8,70,Home
2,55,No,5,7,28,Home
7,44,No,8,9,36,Home
8,41,No,9,3,34,Home
6,91,Yes,7,3,80,Home
5,67,No,8,0,51,Home
9,96,No,9,3,95,Home
3,80,No,8,7,60,Home
4,93,No,4,4,78,Home
9,66,No,9,5,65,Home
6,70,No,7,3,57,Home
8,80,Yes,8,4,75,Home
7,75,Yes,6,9,69,Home
2,86,No,9,7,62,Home
3,82,No,5,8,63,Home
1,40,No,9,2,11,Home
9,89,Yes,6,9,91,Home
7,68,No,6,3,58,Home
1,40,No,6,0,15,Home
3,47,No,7,4,24,Home
4,96,No,7,3,80,Home
4,55,No,9,5,36,Home
5,97,No,7,5,83,Home
3,67,Yes,5,9,49,Home
3,61,No,4,5,41,Home
1,57,No,9,2,33,Home
7,61,No,8,6,52,Home
1,80,No,8,2,52,Home
2,51,No,9,5,31,Home
4,58,No,4,9,38,Home
4,64,No,8,0,45,Home
5,89,No,9,7,79,Home
2,98,No,9,6,78,Home
4,44,Yes,6,8,24,Home
1,98,Yes,5,2,72,Home
2,73,Yes,8,7,52,Home
1,78,No,5,1,50,Home
4,98,Yes,9,8,83,Home
4,49,Yes,4,0,32,Home
7,86,Yes,9,9,84,Home
9,96,Yes,8,6,95,Home
9,46,No,5,9,43,Home
5,99,Yes,6,0,82,Home
1,76,Yes,6,5,54,Home
1,86,No,9,0,59,Home
6,91,Yes,4,3,78,Home
2,99,No,7,6,79,Home
8,91,Yes,8,1,87,Home
9,54,Yes,9,2,53,Home
4,81,Yes,6,3,65,Home
5,63,No,6,5,48,Home
